Empresa;Ação;P/L;P/VP;DY;ROE;Valor;Valor Alvo;Volume
RDNI3;RNI NEGÓCIOS IMOBILIÁRIOS ;12.65;0.4;2,53%;3,15%;5,83;0,00
AALR3;ALLIAR ;-11.11;3.03;-;-27,28%;23,25;0,00
MGEL4;MANGELS ;0.53;7.04;-;1.325,60%;17,00;0,00
ELMD3;Eletromidia ;80.64;2.41;-;2,99%;16,24;19.83
MODL3;Modal Mais ;-25.91;1.58;2,45%;-6,10%;2,68;0,00
IGBR3;IGB ELETRÔNICA ;0.56;-0.34;-;-60,10%;175,99;0,00
FRIO3;METALFRIO ;-0.44;-0.35;-;-79,92%;22,21;0,00
BMIN4;BANCO MERCANTIL DE INVESTIMENTOS ;6.6;0.47;-;7,14%;13,01;0,00
CTSA3;SANTANENSE ;46.93;0.93;-;1,98%;4,50;0,00
ONCO3;Oncoclínicas ;-;-;-;4,52%;10,29;13.55
RCSL3;RECRUSUL ;-5.71;75.98;-;-1.330,62%;1,97;0,00
MPLU3;MPLU3 ;12.2;17.37;-;142,41%;26,80;0,00
AVLL3;ALPHAVILLE ;-0.24;-0.21;-;-85,50%;4,13;7.70
EQPA5;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A. ;11.48;5.79;-;50,45%;8,64;0,00
GGPS3;Grupo GPS ;19.45;3.87;1,64%;19,87%;15,75;20.66
ARML3;Armac ;-;-;1,86%;12,89%;15,65;23.33
GETT4;GETNET ;7.55;1.24;2,05%;16,41%;2,40;0,00
BIOM3;BIOMM ;-4.66;3.06;-;-65,57%;5,87;0,00
PDTC3;PADTEC HOLDING S.A. ;1.7;1.45;-;85,12%;2,52;0,00
MBLY3;Mobly ;-3.82;0.62;-;-16,25%;3,10;2.52
INEP3;INEPAR ;-0.49;-0.11;-;-21,88%;1,01;0,00
PLAS3;PLASCAR ;-0.96;-0.25;-;-26,30%;9,10;0,00
AZEV3;AZEVEDO E TRAVASSOS ;-1.17;1.68;-;-143,32%;1,74;0,00
RPAD3;ALFA HOLDINGS ;8.95;0.56;0,01%;6,22%;7,02;0,00
HOOT4;HOTÉIS OTHON ;0.12;-0.19;-;-156,24%;2,04;0,00
BPHA3;BRASIL PHARMA ;0.06;-0.24;-;-402,50%;0,62;0,00
WNBR3;WINE ;;;-;-;;0,00
QUSW3;QUALITY SOFTWARE ;0;0;-;24,19%;0,00;0,00
APTI4;SIDERURGICA J. L. ALIPERTI ;-2.17;0.27;-;-12,63%;2.979,22;0,00
DOTZ3;Dotz ;-1.39;-0.71;-;-50,84%;0,99;2.13
VVEO3;CM HOSPITALAR ;27.23;2.34;1,46%;8,61%;19,00;24.26
GRAO3;Agribrasil ;-;-;-;45,95%;2,03;0,00
GSHP3;GENERAL SHOPPING ;-0.12;-0.04;-;-31,34%;15,88;0,00
NEXP3;NEXPE ;-0.1;-0.13;-;-125,31%;5,09;0,00
MTIG3;METALGRÁFICA IGUAÇU ;-0.06;0;-;-2,91%;5,21;0,00
CRIV4;FINANCEIRA ALFA ;21.49;0.53;4,39%;2,45%;5,40;0,00
FIGE3;INVESTIMENTOS BEMGE ;2.82;0.19;-;6,65%;12,03;0,00
HAGA3;HAGA ;-0.26;-0;-;-0,22%;2,77;0,00
CEDO3;CEDRO TÊXTIL ;-4.16;0.65;-;-15,63%;8,50;0,00
ENMT3;ENERGISA MATO GROSSO ;14.39;5.23;6,11%;36,34%;70,49;0,00
SLED3;SARAIVA ;0.65;-0.19;-;-29,31%;7,18;0,00
MDRO3;Madero ;;;-;-;;0,00
STKF3;STATKRAFT ENERGIAS RENOVÁVEIS S.A. ;0;0;-;10,25%;0,00;0,00
MMAQ4;MINASMAQUINAS ;0.02;0;-;17,62%;21,79;0,00
TEKA4;TEKA ;-0.05;-0;-;-8,03%;15,69;0,00
CEEB6;COELBA ;9.82;2.49;9,03%;25,40%;60,68;0,00
CTCA3;CTC ;0;0;-;10,60%;0,00;0,00
INNT3;INTER CONSTRUTORA ;0;0;-;27,63%;0,00;0,00
TKNO3;TEKNO ;4.93;0.64;6,45%;13,06%;58,71;0,00
NAFG4;NADIR FIGUEIREDO ;11.8;2.74;-;23,24%;64,37;0,00
BMIN3;BANCO MERCANTIL DE INVESTIMENTOS ;9.68;0.69;-;7,14%;19,07;0,00
BBML3;BBM LOGÍSTICA S.A. ;-;-;-;-202,17%;;0,00
ANDG3B;ANDRADE GUTIERREZ CONCESSÕES ;56.8;2.11;-;3,72%;28,82;0,00
CMSA3;CIMS ;-3581.53;22444.14;-;-626,66%;16,19;0,00
NINJ3;GetNinjas ;-11.27;0.58;-;-5,13%;3,20;4.40
NORD3;NORDON INDUSTRIAS METALÚRGICAS ;-6.21;-0.31;-;-5,00%;7,31;0,00
